file,source_dataset,original_label,target_class,sha256,split,processed_file
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_5b626497d5584e6934f7_jpg.rf.2d45f97285203d7998a0187d5a8458e8.jpg,kaggle_oily_dry_normal,normal,normal,dd62c034bb327a44ea59decc3ecfe05491660d0c151027eb8e0aa9ad8a3c8351,train,data/processed/train/normal/dd62c034bb327a44_00000.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/valid/normal/normal_6158869d0344963607d1_jpg.rf.3080dc65bf47ba2276fe618a547b52bf.jpg,kaggle_oily_dry_normal,normal,normal,b9af2519e10f41bffb7cbb2a7478b164ff883486d55fc4cfe3f91e4a222a368a,train,data/processed/train/normal/b9af2519e10f41bf_00001.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_f1569312cf82b989077d_jpg.rf.1a642408c662a6870d93d499daa6bcd6.jpg,kaggle_oily_dry_normal,normal,normal,98394220e94fcac7c8c02bca94fcaeae9b6b6c91c5d9c5a662ce29cbc5c0fd31,train,data/processed/train/normal/98394220e94fcac7_00002.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_ff7d96b09d8f52bccb3a_jpg.rf.e4a5dcddf2ea36f9505c721e056849f5.jpg,kaggle_oily_dry_normal,normal,normal,4f591607ddd382bfb5b487712ef16a590b0e2b003f3e01bad11c7d9c4b62d441,train,data/processed/train/normal/4f591607ddd382bf_00003.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_a9709635b46d57d2fe10_jpg.rf.09fae0ea3cf9c0cb17702efc95be52b4.jpg,kaggle_oily_dry_normal,normal,normal,f52992b890aed2068e0277467129d8a9408bab830f672368b54920b0dde2e4c8,train,data/processed/train/normal/f52992b890aed206_00004.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_059cf2165bd4da06cc0f_jpg.rf.14bdaec3fc8e56cfb992fe73a49fd8a1.jpg,kaggle_oily_dry_normal,normal,normal,49a105e468bd0a4958c69219f2097ef3bdd23ad5b2c3b765c24152a71642ab95,train,data/processed/train/normal/49a105e468bd0a49_00005.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_d16c915d344dfd8bab99_jpg.rf.ed6e1ae27e5265aadd698d8b3f2466d2.jpg,kaggle_oily_dry_normal,normal,normal,6b0e1627f1543b326d05752f80e945df35be4f28a7e119664668b4b3b0b62c6b,train,data/processed/train/normal/6b0e1627f1543b32_00006.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_677c1d471ad8418b04b2_jpg.rf.19dd9c96665cae967302a1ae0f80d693.jpg,kaggle_oily_dry_normal,normal,normal,b8851b9797647f791ca20701848c919d7d4b86fa1249b5038896a1d936fccdf0,train,data/processed/train/normal/b8851b9797647f79_00007.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_a1ec8b6d86e28a74c32c_jpg.rf.bf082b5f502fac3457480e8dd6cfb6c1.jpg,kaggle_oily_dry_normal,normal,normal,41755e3432acf6ee6468255113c85d7482333fc8f3e6f3c45990011ee06a2ce1,train,data/processed/train/normal/41755e3432acf6ee_00008.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_3b5d7b907f8e52954da7_jpg.rf.fff1d742cf76a27a142e07ab05163f1d.jpg,kaggle_oily_dry_normal,normal,normal,192088c8d9970b84285ecfe9c4dffee48a2dd58b3815e6097eed0db4651d120a,train,data/processed/train/normal/192088c8d9970b84_00009.jpg
kaggle_oily_dry_normal/Oily-Dry-Skin-Types/train/normal/normal_f4679b83afe453307a9d_jpg.rf.e185a90d86abc4f4fae97c6930e865ba.jpg,kaggle_oily_dry_normal,normal,normal,149c64c480887e4f6eb83840977aa50ff7b3e1a6cdbed9d343c57d23bbbf40cc,train,data/processed/train/normal/149c64c480887e4f_00010.jpg
