file,source_dataset,original_label,target_class,sha256,reason
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_10583924a54a7cbcf5d0_jpg.rf.7c4cb0ac9522f3a0faaf230527e1abe9.jpg,kaggle_oily_dry_normal,dry,,605104d1a9fbfcd3285bbf118612274d7f54c8b3cb76657e7c4b5a55029e8a0e,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_1d3b1b41c06745c89fb6_jpg.rf.9fe7b2181a36c2b6f67744be1af2fdd7.jpg,kaggle_oily_dry_normal,dry,,6895c4df65eeb4051f996c37ab59ddb96f55845c14e49b7b23fbd20056dad451,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_2e2591d4cf31b8e024a6_jpg.rf.e8a8db4db95cd0a0df0275d75fcd87a0.jpg,kaggle_oily_dry_normal,dry,,119a1318d83f812b8e8a80bfc77ab006f9ffa50e808ba481ed505c8fb183e591,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_304ff9ea442145481f67_jpg.rf.26e1ca5ca2eb32f5c89509c670ca967a.jpg,kaggle_oily_dry_normal,dry,,50921956fc7f27942eb34ba648928f38403c0bc1ebb3046e617246f66f425434,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_33489ccedfbd77039b4d_jpg.rf.bff22d94ad08b5402f1feb8e304a7368.jpg,kaggle_oily_dry_normal,dry,,6a351a5239bca2364383afe6502bea0db0e8ea07ade642c1d839f078b86640d2,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_3cff4d4b05b7b88def12_jpg.rf.61f7ed0c6569bde348734178e19a55f7.jpg,kaggle_oily_dry_normal,dry,,493f6e92b9f0177af5b9af353627d84f25f34a6cb7ac162d254d53e98d0e83cf,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_4b06e68067862ee761ab_jpg.rf.52e7f8c3af0d6b1dd3e3f224b735fc18.jpg,kaggle_oily_dry_normal,dry,,0ff36d901c0cff10170714017793b0228a1a791f2e0687059b67bc93aa33b17b,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_4e342ada282e73d14463_jpg.rf.3e22185034c87e49e38bf16b7c05d70f.jpg,kaggle_oily_dry_normal,dry,,259454f1e7c84b882c53b33d6ed7f5cc7e775ea6cef2c60117944c30afa6ebe1,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_51f17f3bf8f2c5de29b2_jpg.rf.bb32e8493cb6e55aa06069f4d56404dc.jpg,kaggle_oily_dry_normal,dry,,693d928927daf59f33f05eedf01a3b0858fac99b76b67d9a567d3f557676ea53,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_5b99f597f86f84a70434_jpg.rf.37502a712e3385d9312d33f392300043.jpg,kaggle_oily_dry_normal,dry,,8b17747a8b33dbcaef391f18ef6b9e13f24823edd62d3a8cbb1815dba0370a8f,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_5e9161b29dba973465fa_jpg.rf.8f1c3952c673ea8f893a23f9ae7e3b0e.jpg,kaggle_oily_dry_normal,dry,,8410c8b22bec104232ce8ab86bc4dd25425868228e01d2d308bada0ce6722ff6,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_6c7bae20776a48640207_jpg.rf.fc642cb5acfbae44bbf602b1da983bda.jpg,kaggle_oily_dry_normal,dry,,dd24c95ffe02c400a48262a797919301096afa9741620101902c3faa19b3d92b,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_797659773eb9ee57ec1c_jpg.rf.f3796a0e216897914ee2b7861eba321c.jpg,kaggle_oily_dry_normal,dry,,aaa3a163e8b49d8c41c3b4131ab7ca9390d52162099e876a5cabc34e8a4587b0,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_7d1580f09a0f22cbb869_jpg.rf.e23e6348aba524a6564650d07f1210b5.jpg,kaggle_oily_dry_normal,dry,,e2b63af7bca85b2ac309fe80d12108f45a5aca5fa70918965ddc5940cae0e962,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_80c04739a91c6a25454f_jpg.rf.2dc21f010ef6f38280168eb244928cf3.jpg,kaggle_oily_dry_normal,dry,,b148b5407a0115ad10b200c2ab24aa8bc1e9f2bb69de9d3eab17ed26a584f65e,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_8e441bc00ba44f59160c_jpg.rf.ee8ac22f2b7d2f34aeedd4557c1eb782.jpg,kaggle_oily_dry_normal,dry,,b66314084eb5714c1d46a54aa72879cd629a5b96f22c689f1c48174742eed785,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_8ff73b38fbc8285d13ed_jpg.rf.c03bb4deabb5a5edd88521884f71f09c.jpg,kaggle_oily_dry_normal,dry,,afb07c76f18995c070063ba792177e4ed4679cce638e7ad7716a2d0ce3a099ca,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_93553a3d9e1ef7ee0f56_jpg.rf.877e3e953cc77b54ee75515f664e74aa.jpg,kaggle_oily_dry_normal,dry,,e3e65130452a1c5a37fe397b63f431579630cd6b6686a4e2221c426a879133e1,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_952b53218ddfa8ae3520_jpg.rf.1650d1b8277e509ecb305f11f6e22398.jpg,kaggle_oily_dry_normal,dry,,261c4a96cf936ea3e84d3e0c9003dc6560ab18d1756fc40f797c9a70c1ba9e0f,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_99eba9d8e7b8859bdcfd_jpg.rf.0d0312d455031137f9cbd8aa4ca609d9.jpg,kaggle_oily_dry_normal,dry,,0c54ae000532d3ebd6dafffb64887f93d309d3ddbb9d66f09e2a211b845e7c11,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_a501c2011f97c217e287_jpg.rf.cb3a3d565afb66454c7e111b4d5bcee8.jpg,kaggle_oily_dry_normal,dry,,5a6a83374386a14c2277ff26c201836c75b38e03c4e1e6b28380c9584970af60,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_a89a1cf076835490d4ba_jpg.rf.21f479e58314a0d8e9ded0ba38c72ef7.jpg,kaggle_oily_dry_normal,dry,,6971f350d44678e4a306cbd24dcf98f36901b75034e99b8fab9094073d394d44,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_abc20b33688648c514df_jpg.rf.fab87bd62bc3ac5696030ec858ddfd8e.jpg,kaggle_oily_dry_normal,dry,,f40d8a3d8d7a03d27a9e700fc02db7a3fb682d599dd07b440da5a5ee382f20e8,unmapped/extra folder label: dry
dataset/raw/kaggle_oily_dry_normal/Oily-Dry-Skin-Types/test/dry/dry_b50f5cd31a0acaf8d7cd_jpg.rf.c2f0eb2bc17c15b38e613cb1b7aa24ce.jpg,kaggle_oily_dry_normal,dry,,f96232ee5e58f50e59645f5fdea6bfaf519ff2dc62b8487011cec73e10b31cce,unmapped/extra folder label: dry
